trade_month,industry,ret,n_stocks
2020-02,801170.SI,-0.04179330483967458,117
2020-02,801180.SI,-0.020971548382109906,130
2020-02,801200.SI,-0.018363817146207384,95
2020-02,801210.SI,-0.022528663227359025,33
2020-02,801230.SI,0.05506042490446972,35
2020-02,801710.SI,0.08081311034333849,67
2020-02,801720.SI,-0.003856436111174255,127
2020-02,801730.SI,0.03578419704861102,193
2020-02,801740.SI,0.01458176368044728,67
2020-02,801750.SI,0.13471858160248273,211
2020-02,801760.SI,0.03172704678270666,168
2020-02,801770.SI,0.12508418383564712,101
2020-02,801780.SI,-0.05404034869856866,36
2020-02,801790.SI,-0.04726614209598423,79
2020-02,801880.SI,0.02930148555181411,176
2020-02,801890.SI,0.0224566215663502,332
2020-02,801950.SI,-0.05219878315197124,38
2020-02,801960.SI,-0.08206649692516377,44
2020-02,801970.SI,0.017217623221391642,77
2020-02,801980.SI,0.023782966095345026,16
2020-03,801010.SI,0.15142286362322044,84
2020-03,801030.SI,-0.06279373404437982,305
2020-03,801040.SI,-0.02046046660345191,32
2020-03,801050.SI,-0.08653704356350034,114
2020-03,801080.SI,-0.19454266114231245,246
2020-03,801110.SI,-0.09761912011569263,58
2020-03,801120.SI,0.05454266123602691,96
2020-03,801130.SI,0.006125365657124737,81
2020-03,801140.SI,-0.046742752158024814,129
2020-03,801150.SI,0.024449067353729204,300
2020-03,801160.SI,0.003723708414588911,100
2020-03,801170.SI,-0.02015093938550283,117
2020-03,801180.SI,-0.049326572927095746,130
2020-03,801200.SI,0.06536673234891621,95
2020-03,801210.SI,-0.09533354979487974,34
2020-03,801230.SI,-0.05135286777309256,35
2020-03,801710.SI,0.005035303281117232,67
2020-03,801720.SI,-0.002411482116646102,127
2020-03,801730.SI,-0.05814853453459867,193
2020-03,801740.SI,-0.06873070751676225,68
2020-03,801750.SI,-0.12154678948852915,211
2020-03,801760.SI,-0.09250333909520947,168
2020-03,801770.SI,-0.05963477693937769,101
2020-03,801780.SI,-0.03868387995535294,36
2020-03,801790.SI,-0.07583038576705026,80
2020-03,801880.SI,-0.08090898396665569,176
2020-03,801890.SI,-0.045695341263706,333
2020-03,801950.SI,-0.030414594790372784,38
2020-03,801960.SI,-0.07109977177312388,44
2020-03,801970.SI,-0.026437511186104268,77
2020-03,801980.SI,0.041424094750541096,16
2020-04,801010.SI,0.019402611467804753,85
2020-04,801030.SI,0.0612496715113755,306
2020-04,801040.SI,0.03104405481175121,33
2020-04,801050.SI,0.02625632236337383,116
2020-04,801080.SI,0.1278427564747162,246
2020-04,801110.SI,0.08405835929189664,58
2020-04,801120.SI,0.10422741828923976,96
2020-04,801130.SI,-0.04574115565684633,81
2020-04,801140.SI,0.03705945646091857,128
2020-04,801150.SI,0.06333756588664996,300
2020-04,801160.SI,0.010968678568066492,100
2020-04,801170.SI,0.036955953354258275,117
2020-04,801180.SI,0.047258404756006955,130
2020-04,801200.SI,0.013033117967102159,96
2020-04,801210.SI,0.24184039674141644,34
2020-04,801230.SI,0.03125292002972602,34
2020-04,801710.SI,0.09444728922451562,67
2020-04,801720.SI,0.008696310536599805,128
2020-04,801730.SI,0.11654416404831536,195
2020-04,801740.SI,0.07978983467894074,68
2020-04,801750.SI,0.09354059120087377,211
2020-04,801760.SI,0.06396970077485675,168
2020-04,801770.SI,0.02667153945607459,101
2020-04,801780.SI,0.03043925129040881,36
2020-04,801790.SI,0.04630146399861146,79
2020-04,801880.SI,0.0036284445140055688,177
2020-04,801890.SI,0.058362235680224694,334
2020-04,801950.SI,-0.005257691632894801,38
2020-04,801960.SI,-0.006896263910604605,45
2020-04,801970.SI,0.0463382680068698,77
2020-04,801980.SI,0.12360855937412452,16
2020-05,801010.SI,-0.029306663503880448,86
2020-05,801030.SI,0.02338130979096098,304
2020-05,801040.SI,0.00597223146194259,33
2020-05,801050.SI,0.0507878757512048,117
2020-05,801080.SI,-0.011311423509457241,248
2020-05,801110.SI,0.07108715171048985,58
2020-05,801120.SI,0.10240522448345413,96
2020-05,801130.SI,0.011376601165444367,81
2020-05,801140.SI,0.0773442091148977,128
2020-05,801150.SI,0.057412831554013,303
2020-05,801160.SI,-0.008252741798696506,102
2020-05,801170.SI,-0.005375570868280111,116
